x,y,RSSI A,RSSI B,RSSI C,RSSI
0.5,0.5,44,56,44,48
0.5,1,43,52,56,50.33333333
0.5,1.5,51,51,55,52.33333333
0.5,2,48,51,59,52.66666667
0.5,2.5,55,59,60,58
0.5,3,49,40,58,49
0.5,3.5,57,50,64,57
1,0.5,43,49,51,47.66666667
1,1,48,56,51,51.66666667
1,1.5,52,48,61,53.66666667
1,2,50,54,57,53.66666667
1,2.5,48,51,49,49.33333333
1,3,46,49,56,50.33333333
1,3.5,53,43,54,50
1.5,0.5,44,56,48,49.33333333
1.5,1,58,44,45,49
1.5,1.5,54,51,50,51.66666667
1.5,2,54,46,54,51.33333333
1.5,2.5,53,53,49,51.66666667
1.5,3,56,42,47,48.33333333
1.5,3.5,60,42,47,49.66666667
2,0.5,53,47,56,52
2,1,55,49,59,54.33333333
2,1.5,49,43,57,49.66666667
2,2,48,58,53,53
2,2.5,52,59,61,57.33333333
2,3,54,56,56,55.33333333
2,3.5,53,47,53,51
2.5,0.5,48,56,47,50.33333333
2.5,1,57,50,46,51
2.5,1.5,58,45,43,48.66666667
2.5,2,57,53,47,52.33333333
2.5,2.5,50,48,52,50
2.5,3,58,49,50,52.33333333
2.5,3.5,50,50,57,52.33333333
3,0.5,54,50,49,51
3,1,58,52,43,51
3,1.5,54,51,39,48
3,2,49,44,60,51
3,2.5,53,48,58,53
3,3,56,55,60,57
3,3.5,56,53,50,53
3.5,0.5,66,58,37,53.66666667
3.5,1,50,51,41,47.33333333
3.5,1.5,58,49,44,50.33333333
3.5,2,55,55,49,53
3.5,2.5,55,50,49,51.33333333
3.5,3,51,55,46,50.66666667
3.5,3.5,63,50,54,55.66666667
