x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
1.2031,0,20,50,35,1,35
2.406,0,36,38,33,2,35.66666667
3.609,0,49,41,32,3,40.66666667
4.8125,0,43,38,36,4,39
6.0155,0,40,43,27,5,36.66666667
7.218,0,40,39,34,6,37.66666667
8.421,0,42,41,31,7,38
0.601,0.623,31,43,48,8,40.66666667
1.804,0.623,34,49,32,9,38.33333333
3.007,0.623,45,37,37,10,39.66666667
4.2257,0.623,39,44,32,11,38.33333333
5.414,0.623,38,42,26,12,35.33333333
6.616,0.623,43,45,27,13,38.33333333
7.8195,0.623,40,35,32,14,35.66666667
9.023,0.623,42,29,38,15,36.33333333
0,1.246,31,57,34,16,40.66666667
1.2031,1.246,36,47,35,17,39.33333333
2.406,1.246,37,45,35,18,39
3.609,1.246,33,35,38,19,35.33333333
4.8125,1.246,39,41,34,20,38
6.0155,1.246,48,39,26,21,37.66666667
7.218,1.246,45,32,30,22,35.66666667
8.421,1.246,39,36,35,23,36.66666667
9.625,1.246,39,29,41,24,36.33333333
0.601,1.869,29,44,36,25,36.33333333
1.804,1.869,40,44,36,26,40
3.007,1.869,32,38,39,27,36.33333333
4.2257,1.869,46,41,31,28,39.33333333
5.414,1.869,40,48,15,29,34.33333333
6.616,1.869,50,33,29,30,37.33333333
7.8195,1.869,50,29,35,31,38
9.023,1.869,48,33,37,32,39.33333333
0,2.492,35,54,51,33,46.66666667
1.2031,2.492,30,41,42,34,37.66666667
2.406,2.492,35,48,35,35,39.33333333
3.609,2.492,38,37,34,36,36.33333333
6.0155,2.492,40,34,30,37,34.66666667
7.218,2.492,45,33,31,38,36.33333333
8.421,2.492,43,33,34,39,36.66666667
9.625,2.492,46,32,35,40,37.66666667
