x,y,RSSI A,RSSI B,RSSI C,RSSI
0.5,0.5,75,93,87,85
0.5,1,70,88,85,81
0.5,1.5,83,81,85,83
0.5,2,86,84,87,85.66666667
0.5,2.5,79,81,82,80.66666667
0.5,3,80,76,93,83
0.5,3.5,83,68,93,81.33333333
1,0.5,83,84,83,83.33333333
1,1,76,87,85,82.66666667
1,1.5,80,88,76,81.33333333
1,2,82,77,80,79.66666667
1,2.5,86,79,85,83.33333333
1,3,82,85,86,84.33333333
1,3.5,72,82,93,82.33333333
1.5,0.5,81,83,81,81.66666667
1.5,1,82,84,84,83.33333333
1.5,1.5,83,88,88,86.33333333
1.5,2,87,78,86,83.66666667
1.5,2.5,89,82,82,84.33333333
1.5,3,91,81,86,86
1.5,3.5,91,76,84,83.66666667
2,0.5,78,86,81,81.66666667
2,1,91,85,80,85.33333333
2,1.5,80,75,80,78.33333333
2,2,84,85,84,84.33333333
2,2.5,81,82,84,82.33333333
2,3,79,83,87,83
2,3.5,84,75,93,84
2.5,0.5,87,84,77,82.66666667
2.5,1,84,88,85,85.66666667
2.5,1.5,85,83,83,83.66666667
2.5,2,82,82,85,83
2.5,2.5,86,77,83,82
2.5,3,87,84,86,85.66666667
2.5,3.5,95,77,94,88.66666667
3,0.5,82,83,74,79.66666667
3,1,94,84,76,84.66666667
3,1.5,91,92,84,89
3,2,83,84,80,82.33333333
3,2.5,90,78,79,82.33333333
3,3,95,88,87,90
3,3.5,90,74,82,82
3.5,0.5,89,85,75,83
3.5,1,83,95,77,85
3.5,1.5,85,82,81,82.66666667
3.5,2,83,78,82,81
3.5,2.5,83,83,81,82.33333333
3.5,3,87,87,88,87.33333333
3.5,3.5,84,82,80,82
