x,y,RSSI A,RSSI B,RSSI C,RSSI
0.5,0.5,51,55,64,56.66666667
0.5,1,63,63,60,62
0.5,1.5,55,55,56,55.33333333
0.5,2,61,64,55,60
0.5,2.5,56,58,59,57.66666667
0.5,3,59,55,68,60.66666667
0.5,3.5,61,44,57,54
1,0.5,58,57,62,59
1,1,60,59,57,58.66666667
1,1.5,72,53,72,65.66666667
1,2,55,65,62,60.66666667
1,2.5,60,49,57,55.33333333
1,3,66,53,51,56.66666667
1,3.5,62,48,59,56.33333333
1.5,0.5,61,61,58,60
1.5,1,63,67,51,60.33333333
1.5,1.5,56,51,50,52.33333333
1.5,2,52,60,61,57.66666667
1.5,2.5,54,58,59,57
1.5,3,62,49,63,58
1.5,3.5,67,48,57,57.33333333
2,0.5,70,64,56,63.33333333
2,1,63,71,48,60.66666667
2,1.5,72,57,52,60.33333333
2,2,63,51,57,57
2,2.5,58,62,56,58.66666667
2,3,47,57,60,54.66666667
2,3.5,63,47,58,56
2.5,0.5,65,60,42,55.66666667
2.5,1,61,60,43,54.66666667
2.5,1.5,80,58,44,60.66666667
2.5,2,63,59,50,57.33333333
2.5,2.5,62,64,51,59
2.5,3,67,60,65,64
2.5,3.5,55,55,61,57
3,0.5,40,58,57,51.66666667
3,1,67,76,45,62.66666667
3,1.5,62,56,51,56.33333333
3,2,73,78,55,68.66666667
3,2.5,66,60,63,63
3,3,69,63,54,62
3,3.5,68,51,56,58.33333333
3.5,0.5,58,58,35,50.33333333
3.5,1,69,52,42,54.33333333
3.5,1.5,63,65,40,56
3.5,2,63,58,46,55.66666667
3.5,2.5,63,59,52,58
3.5,3,61,61,58,60
3.5,3.5,70,59,50,59.66666667
