x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
1.2031,0,63,79,75,1,72.33333333
2.406,0,72,85,77,2,78
3.609,0,78,76,79,3,77.66666667
4.8125,0,75,76,71,4,74
6.0155,0,79,75,66,5,73.33333333
7.218,0,79,74,74,6,75.66666667
8.421,0,81,81,69,7,77
0.601,0.623,66,82,76,8,74.66666667
1.804,0.623,71,77,71,9,73
3.007,0.623,75,72,72,10,73
4.2257,0.623,74,70,72,11,72
5.414,0.623,78,70,78,12,75.33333333
6.616,0.623,75,71,67,13,71
7.8195,0.623,81,66,69,14,72
9.023,0.623,80,59,74,15,71
0,1.246,73,75,75,16,74.33333333
1.2031,1.246,66,80,75,17,73.66666667
2.406,1.246,74,77,71,18,74
3.609,1.246,75,70,70,19,71.66666667
4.8125,1.246,79,74,61,20,71.33333333
6.0155,1.246,79,66,72,21,72.33333333
7.218,1.246,78,70,73,22,73.66666667
8.421,1.246,85,68,69,23,74
9.625,1.246,78,70,78,24,75.33333333
0.601,1.869,71,74,78,25,74.33333333
1.804,1.869,64,74,70,26,69.33333333
3.007,1.869,72,71,71,27,71.33333333
4.2257,1.869,77,76,71,28,74.66666667
5.414,1.869,77,74,62,29,71
6.616,1.869,76,66,65,30,69
7.8195,1.869,80,73,77,31,76.66666667
9.023,1.869,85,73,80,32,79.33333333
0,2.492,76,86,81,33,81
1.2031,2.492,72,75,74,34,73.66666667
2.406,2.492,68,71,77,35,72
3.609,2.492,75,65,68,36,69.33333333
6.0155,2.492,78,67,70,37,71.66666667
7.218,2.492,82,75,72,38,76.33333333
8.421,2.492,79,70,75,39,74.66666667
9.625,2.492,73,72,79,40,74.66666667
