x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
1.2031,0,51,72,60,1,61
2.406,0,64,72,59,2,65
3.609,0,66,67,54,3,62.33333333
4.8125,0,58,73,46,4,59
6.0155,0,59,60,54,5,57.66666667
7.218,0,61,64,48,6,57.66666667
8.421,0,70,55,53,7,59.33333333
0.601,0.623,48,63,65,8,58.66666667
1.804,0.623,48,73,54,9,58.33333333
3.007,0.623,55,66,55,10,58.66666667
4.2257,0.623,55,60,63,11,59.33333333
5.414,0.623,57,64,51,12,57.33333333
6.616,0.623,60,60,43,13,54.33333333
7.8195,0.623,67,61,55,14,61
9.023,0.623,70,46,49,15,55
0,1.246,47,71,61,16,59.66666667
1.2031,1.246,52,59,56,17,55.66666667
2.406,1.246,55,63,50,18,56
3.609,1.246,52,72,59,19,61
4.8125,1.246,63,70,57,20,63.33333333
6.0155,1.246,59,59,44,21,54
7.218,1.246,65,58,48,22,57
8.421,1.246,58,49,49,23,52
9.625,1.246,65,47,58,24,56.66666667
0.601,1.869,49,73,59,25,60.33333333
1.804,1.869,46,74,67,26,62.33333333
3.007,1.869,50,65,57,27,57.33333333
4.2257,1.869,49,63,47,28,53
5.414,1.869,76,58,40,29,58
6.616,1.869,56,58,43,30,52.33333333
7.8195,1.869,67,55,51,31,57.66666667
9.023,1.869,65,48,59,32,57.33333333
0,2.492,63,66,64,33,64.33333333
1.2031,2.492,52,61,61,34,58
2.406,2.492,50,60,61,35,57
3.609,2.492,55,65,53,36,57.66666667
6.0155,2.492,56,53,48,37,52.33333333
7.218,2.492,62,52,55,38,56.33333333
8.421,2.492,56,48,59,39,54.33333333
9.625,2.492,61,58,53,40,57.33333333
