x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
-0.61,0.78,33,54,48,1,45
-0.61,1.63,34,42,38,2,38
-0.61,2.56,34,42,46,3,40.66666667
-0.61,3.42,43,44,28,4,38.33333333
0.65,0.78,40,42,45,5,42.33333333
0.65,1.63,30,44,39,6,37.66666667
0.65,2.56,43,37,33,7,37.66666667
0.65,3.42,38,39,36,8,37.66666667
1.97,0.78,40,42,42,9,41.33333333
1.97,1.63,45,45,39,10,43
1.97,2.56,35,40,39,11,38
1.97,3.42,35,48,44,12,42.33333333
3.27,0.78,45,40,37,13,40.66666667
3.27,1.63,42,55,41,14,46
3.27,2.56,43,45,37,15,41.66666667
3.27,3.42,42,38,49,16,43
