x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
-0.61,0.78,53,57,62,1,57.33333333
-0.61,1.63,54,55,58,2,55.66666667
-0.61,2.56,57,59,61,3,59
-0.61,3.42,57,69,52,4,59.33333333
0.65,0.78,49,64,61,5,58
0.65,1.63,60,55,69,6,61.33333333
0.65,2.56,65,57,52,7,58
0.65,3.42,61,72,47,8,60
1.97,0.78,54,58,54,9,55.33333333
1.97,1.63,62,60,63,10,61.66666667
1.97,2.56,58,60,55,11,57.66666667
1.97,3.42,55,66,52,12,57.66666667
3.27,0.78,57,50,74,13,60.33333333
3.27,1.63,59,57,60,14,58.66666667
3.27,2.56,63,67,56,15,62
3.27,3.42,59,57,55,16,57
