x,y,RSSI A,RSSI B,RSSI C,Point,RSSI
-0.61,0.78,67,73,70,1,70
-0.61,1.63,68,69,73,2,70
-0.61,2.56,69,71,72,3,70.66666667
-0.61,3.42,71,85,70,4,75.33333333
0.65,0.78,61,71,75,5,69
0.65,1.63,65,70,70,6,68.33333333
0.65,2.56,70,70,70,7,70
0.65,3.42,68,64,76,8,69.33333333
1.97,0.78,74,68,77,9,73
1.97,1.63,75,73,72,10,73.33333333
1.97,2.56,73,72,67,11,70.66666667
1.97,3.42,71,71,70,12,70.66666667
3.27,0.78,71,61,73,13,68.33333333
3.27,1.63,80,67,72,14,73
3.27,2.56,81,77,75,15,77.66666667
3.27,3.42,75,68,72,16,71.66666667
